,xmin,ymin,xmax,ymax,numgranules,is_downloaded,geometry
132,-48,-89,-47,-88,0,False,"POLYGON ((-47 -89, -47 -88, -48 -88, -48 -89, -47 -89))"
133,-47,-89,-46,-88,0,False,"POLYGON ((-46 -89, -46 -88, -47 -88, -47 -89, -46 -89))"
134,-46,-89,-45,-88,0,False,"POLYGON ((-45 -89, -45 -88, -46 -88, -46 -89, -45 -89))"
135,-45,-89,-44,-88,0,False,"POLYGON ((-44 -89, -44 -88, -45 -88, -45 -89, -44 -89))"
136,-44,-89,-43,-88,0,False,"POLYGON ((-43 -89, -43 -88, -44 -88, -44 -89, -43 -89))"
137,-43,-89,-42,-88,0,False,"POLYGON ((-42 -89, -42 -88, -43 -88, -43 -89, -42 -89))"
138,-42,-89,-41,-88,0,False,"POLYGON ((-41 -89, -41 -88, -42 -88, -42 -89, -41 -89))"
139,-41,-89,-40,-88,0,False,"POLYGON ((-40 -89, -40 -88, -41 -88, -41 -89, -40 -89))"
140,-40,-89,-39,-88,0,False,"POLYGON ((-39 -89, -39 -88, -40 -88, -40 -89, -39 -89))"
141,-39,-89,-38,-88,0,False,"POLYGON ((-38 -89, -38 -88, -39 -88, -39 -89, -38 -89))"
142,-38,-89,-37,-88,0,False,"POLYGON ((-37 -89, -37 -88, -38 -88, -38 -89, -37 -89))"
143,-37,-89,-36,-88,0,False,"POLYGON ((-36 -89, -36 -88, -37 -88, -37 -89, -36 -89))"
144,-36,-89,-35,-88,0,False,"POLYGON ((-35 -89, -35 -88, -36 -88, -36 -89, -35 -89))"
145,-35,-89,-34,-88,0,False,"POLYGON ((-34 -89, -34 -88, -35 -88, -35 -89, -34 -89))"
146,-34,-89,-33,-88,0,False,"POLYGON ((-33 -89, -33 -88, -34 -88, -34 -89, -33 -89))"
147,-33,-89,-32,-88,0,False,"POLYGON ((-32 -89, -32 -88, -33 -88, -33 -89, -32 -89))"
148,-32,-89,-31,-88,0,False,"POLYGON ((-31 -89, -31 -88, -32 -88, -32 -89, -31 -89))"
149,-31,-89,-30,-88,0,False,"POLYGON ((-30 -89, -30 -88, -31 -88, -31 -89, -30 -89))"
150,-30,-89,-29,-88,0,False,"POLYGON ((-29 -89, -29 -88, -30 -88, -30 -89, -29 -89))"
151,-29,-89,-28,-88,0,False,"POLYGON ((-28 -89, -28 -88, -29 -88, -29 -89, -28 -89))"
152,-28,-89,-27,-88,0,False,"POLYGON ((-27 -89, -27 -88, -28 -88, -28 -89, -27 -89))"
153,-27,-89,-26,-88,0,False,"POLYGON ((-26 -89, -26 -88, -27 -88, -27 -89, -26 -89))"
